高槻市駅 時刻表（阪急京都本線 大阪梅田・天下茶屋方面）平日,,,,,
時,発車時刻,種別,行き先,,
18時,18:39,普通,大阪梅田,,
18時,18:48,準特急,大阪梅田,,
18時,18:49,普通,大阪梅田,,
18時,18:53,準急,大阪梅田,,
18時,18:58,準特急,大阪梅田,,
18時,18:59,普通,大阪梅田（当駅始発）,,
19時,19:04,普通,天下茶屋,,
19時,19:09,準特急,大阪梅田,,
19時,19:10,普通,大阪梅田,,
19時,19:14,準急,大阪梅田,,
19時,19:17,準特急,大阪梅田,,
19時,19:18,普通,大阪梅田（当駅始発）,,
19時,19:27,準特急,大阪梅田,,
19時,19:28,普通,大阪梅田,,
19時,19:33,準急,大阪梅田,,
19時,19:38,準特急,大阪梅田,,
19時,19:39,普通,大阪梅田（当駅始発）,,
19時,19:48,準特急,大阪梅田,,
19時,19:49,普通,大阪梅田,,
19時,19:53,準急,大阪梅田,,
19時,19:58,準特急,大阪梅田,,
19時,19:59,普通,大阪梅田（当駅始発）,,
20時,20:03,普通,大阪梅田,,
20時,20:08,準特急,大阪梅田,,
20時,20:09,普通,大阪梅田（当駅始発）,,
20時,20:13,準急,大阪梅田,,
20時,20:17,準特急,大阪梅田,,
20時,20:19,普通,大阪梅田（当駅始発）,,
20時,20:23,普通,天下茶屋,,
20時,20:27,準特急,大阪梅田,,
20時,20:29,普通,大阪梅田,,
20時,20:33,準急,大阪梅田,,
20時,20:39,準特急,大阪梅田,,
20時,20:40,普通,大阪梅田（当駅始発）,,
20時,20:44,準急,大阪梅田,,
20時,20:49,準特急,大阪梅田,,
20時,20:50,普通,大阪梅田,,
20時,20:58,準特急,大阪梅田,,
20時,20:59,普通,大阪梅田,,
21時,21:03,普通,大阪梅田,,
21時,21:08,準特急,大阪梅田,,
21時,21:11,普通,天下茶屋（当駅始発）,,
21時,21:14,普通,大阪梅田,,
21時,21:19,準特急,大阪梅田,,
21時,21:21,普通,天下茶屋（当駅始発）,,
21時,21:26,普通,大阪梅田,,
21時,21:31,準特急,大阪梅田,,
21時,21:35,普通,天下茶屋（当駅始発）,,
21時,21:38,普通,大阪梅田,,
21時,21:45,準特急,大阪梅田,,
21時,21:46,普通,正雀,,
21時,21:51,普通,大阪梅田,,
21時,21:55,準特急,大阪梅田,,
22時,22:03,普通,大阪梅田,,
22時,22:10,準特急,大阪梅田,,
22時,22:16,普通,大阪梅田,,
22時,22:25,準特急,大阪梅田,,
22時,22:26,普通,大阪梅田,,
22時,22:40,準特急,大阪梅田,,
22時,22:41,普通,大阪梅田,,
22時,22:52,準特急,大阪梅田,,
22時,22:55,普通,大阪梅田,,
23時,23:07,準特急,大阪梅田,,
23時,23:09,普通,大阪梅田,,
23時,23:23,準特急,大阪梅田,,
23時,23:24,普通,大阪梅田,,
23時,23:38,準特急,大阪梅田,,
23時,23:39,普通,大阪梅田,,
23時,23:51,普通,茨木市,,
0時,00:01,普通,正雀,,
0時,00:22,普通,正雀,,
,,,,,
【凡例】,,,,,
普通,準急,準特急,特急,急行,通勤特急
