高槻駅 時刻表（JR京都線 姫路・西明石方面）平日,,,
時,発車時刻,種別,行き先
22時,22:22,新快速,網干
22時,22:27,快速,姫路
22時,22:29,普通,新三田（当駅始発）
22時,22:39,普通,西明石
22時,22:42,新快速,姫路
22時,22:47,快速,姫路
22時,22:49,普通,新三田（当駅始発）
22時,22:57,普通,西明石
23時,23:02,新快速,姫路
23時,23:05,普通,宝塚（当駅始発）
23時,23:14,特急,大阪
23時,23:15,快速,姫路
23時,23:17,普通,西明石（当駅始発）
23時,23:22,新快速,姫路
23時,23:31,普通,西明石
23時,23:42,新快速,西明石
23時,23:46,快速,大阪
23時,23:55,普通,大阪
0時,00:20,普通,大阪
,,,
【凡例】,,,
普通,快速,新快速,特急
